github.com/AlDanial/cloc v 1.90  T=0.18 s (1483.3 files/s, 119475.7 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                        blank        comment           code
src/main/webapp/app/modules/account/password-reset/init/password-reset-init.tsx                                 8              0             59
src/test/resources/config/application.yml                                                                       6             31             59
src/main/webapp/app/app.tsx                                                                                     8              0             57
src/main/webapp/app/shared/reducers/application-profile.spec.ts                                                 9              0             57
src/main/java/com/assista/crise/domain/AbstractAuditingEntity.java                                             16              4             55
src/main/webapp/app/modules/account/password-reset/password-reset.reducer.ts                                    9              3             55
src/main/webapp/app/modules/account/settings/settings.reducer.ts                                               10              2             55
src/main/webapp/app/shared/layout/header/header.tsx                                                            11              1             55
src/test/javascript/cypress/support/entity.ts                                                                  11             11             55
src/main/java/com/assista/crise/config/CRLFLogConverter.java                                                    8              7             54
src/main/java/com/assista/crise/config/SecurityJwtConfiguration.java                                            8              0             54
src/main/webapp/app/shared/auth/private-route.tsx                                                              10              6             54
src/test/java/com/assista/crise/config/SqlTestContainersSpringContextCustomizerFactory.java                     7              3             54
src/test/java/com/assista/crise/web/rest/errors/ExceptionTranslatorTestController.java                         15              3             54
src/test/javascript/cypress/support/navbar.ts                                                                  10              2             53
src/main/java/com/assista/crise/service/dto/UserDTO.java                                                       16              6             52
src/main/webapp/app/modules/account/password/password.reducer.ts                                               10              2             52
src/main/webapp/404.html                                                                                        6              1             51
src/main/webapp/app/modules/account/activate/activate.tsx                                                      10              0             50
src/main/webapp/app/modules/administration/user-management/user-management-delete-dialog.tsx                    9              0             49
src/main/webapp/app/shared/error/error-boundary-routes.spec.tsx                                                 7              1             47
src/main/webapp/app/modules/administration/health/health-modal.tsx                                              3              2             46
src/main/webapp/app/shared/util/entity-utils.spec.ts                                                           10              0             46
src/test/javascript/cypress/e2e/account/login-page.cy.ts                                                        8              2             45
src/test/java/com/assista/crise/security/jwt/TokenAuthenticationIT.java                                        11              0             44
src/main/webapp/app/modules/account/register/register.reducer.ts                                                8              2             43
src/test/java/com/assista/crise/management/SecurityMetersServiceTests.java                                     27              0             43
src/main/webapp/app/shared/layout/menus/account.spec.tsx                                                        9              1             42
src/main/java/com/assista/crise/config/AsyncConfiguration.java                                                  7              0             41
src/main/java/com/assista/crise/management/SecurityMetersService.java                                          10              0             40
src/main/java/com/assista/crise/web/rest/PublicUserResource.java                                                9              6             40
src/test/resources/logback.xml                                                                                  6              2             40
src/main/java/com/assista/crise/web/rest/errors/BadRequestAlertException.java                                  10              0             39
src/main/java/com/assista/crise/config/JacksonConfiguration.java                                                5              7             37
src/main/java/com/assista/crise/config/LoggingConfiguration.java                                                7              3             37
src/main/java/com/assista/crise/config/StaticResourcesWebConfiguration.java                                    10              0             37
src/main/java/com/assista/crise/web/rest/vm/LoginVM.java                                                       12              4             37
src/main/webapp/app/shared/error/error-boundary.tsx                                                             6              0             37
src/main/webapp/app/shared/layout/menus/admin.tsx                                                               5              0             36
src/main/webapp/app/shared/layout/menus/account.tsx                                                             4              0             34
src/test/java/com/assista/crise/config/PostgreSqlTestContainer.java                                             7              0             34
src/main/webapp/app/shared/jhipster/headers.ts                                                                  3              3             33
src/main/webapp/app/modules/account/activate/activate.reducer.ts                                                8              2             32
src/main/webapp/i18n/en/settings.json                                                                           0              0             32
src/test/javascript/cypress/e2e/account/reset-password-page.cy.ts                                               5              0             32
src/test/javascript/cypress/plugins/index.ts                                                                    4             12             32
src/main/webapp/i18n/en/health.json                                                                             0              0             31
src/main/webapp/i18n/en/user-management.json                                                                    0              0             31
src/main/webapp/manifest.webapp                                                                                 0              0             31
src/test/java/com/assista/crise/TechnicalStructureTest.java                                                     6              1             31
src/test/java/com/assista/crise/security/jwt/AuthenticationIntegrationTest.java                                 2              0             31
src/main/webapp/app/shared/model/user.model.ts                                                                  1              0             30
src/main/docker/jib/entrypoint.sh                                                                               6              4             29
src/main/webapp/app/config/axios-interceptor.spec.ts                                                            3              0             29
src/main/webapp/app/index.tsx                                                                                   7              0             29
src/main/webapp/app/shared/layout/header/header-components.tsx                                                  4              0             29
src/main/docker/app.yml                                                                                         0              1             28
src/main/docker/grafana/provisioning/datasources/datasource.yml                                                 2             20             28
src/main/webapp/app/modules/login/login.tsx                                                                     7              0             28
src/main/webapp/app/shared/reducers/index.ts                                                                    3              2             28
src/main/webapp/app/shared/util/entity-utils.ts                                                                 5             13             28
src/main/java/com/assista/crise/repository/UserRepository.java                                                  6              3             27
src/main/webapp/app/shared/reducers/application-profile.ts                                                      6              1             26
src/main/webapp/i18n/en/reset.json                                                                              0              0             26
src/test/java/com/assista/crise/domain/AuthorityTest.java                                                       8              0             26
src/main/java/com/assista/crise/service/dto/PasswordChangeDTO.java                                             10              4             25
src/main/java/com/assista/crise/web/filter/SpaWebFilter.java                                                    4              4             25
src/main/webapp/app/config/axios-interceptor.ts                                                                 3              0             25
src/test/resources/config/application-testdev.yml                                                               1              9             25
src/test/resources/config/application-testprod.yml                                                              1              9             25
src/main/webapp/app/shared/DurationFormat.tsx                                                                   4              0             24
src/main/webapp/app/shared/error/error-boundary.spec.tsx                                                        5              1             24
src/main/webapp/i18n/en/register.json                                                                           0              0             24
src/test/javascript/cypress/support/account.ts                                                                  3              1             24
src/main/webapp/app/config/store.ts                                                                             6              1             23
src/test/javascript/cypress/e2e/lighthouse.audits.ts                                                            2              3             23
src/main/docker/monitoring.yml                                                                                  0              9             22
src/main/java/com/assista/crise/web/rest/errors/FieldErrorVM.java                                              10              0             22
src/main/webapp/app/config/error-middleware.ts                                                                  1              6             22
src/main/webapp/app/modules/administration/index.tsx                                                            3              0             22
src/main/java/com/assista/crise/web/rest/vm/ManagedUserVM.java                                                  9              5             21
src/main/webapp/app/modules/login/logout.tsx                                                                    5              0             21
src/main/webapp/app/shared/layout/menus/menu-item.tsx                                                           4              0             21
src/main/webapp/app/shared/layout/password/password-strength-bar.scss                                           1              0             21
src/test/java/com/assista/crise/domain/AuthorityAsserts.java                                                    7             32             21
src/test/resources/templates/mail/passwordResetEmail.html                                                       0              0             21
src/main/webapp/app/shared/error/error-boundary-routes.tsx                                                      2              0             20
src/test/java/com/assista/crise/web/rest/WithUnauthenticatedMockUser.java                                       3              0             20
src/main/java/com/assista/crise/web/rest/errors/InvalidPasswordException.java                                   4              0             19
src/main/webapp/app/modules/administration/user-management/index.tsx                                            3              0             19
src/main/webapp/i18n/en/home.json                                                                               0              0             19
